 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.51000E+02    0.18000E+03    0.30240E+00    0.12138E+03    0.69471E+00    0.99711E+00
    0.52000E+02    0.18000E+03    0.28020E+00    0.12049E+03    0.71693E+00    0.99713E+00
    0.53000E+02    0.18000E+03    0.25918E+00    0.11931E+03    0.73748E+00    0.99666E+00
    0.54000E+02    0.18000E+03    0.23942E+00    0.11788E+03    0.75645E+00    0.99587E+00
    0.55000E+02    0.18000E+03    0.22100E+00    0.11627E+03    0.77396E+00    0.99496E+00
    0.56000E+02    0.18000E+03    0.20397E+00    0.11449E+03    0.79009E+00    0.99406E+00
    0.57000E+02    0.18000E+03    0.18841E+00    0.11256E+03    0.80477E+00    0.99318E+00
    0.58000E+02    0.18000E+03    0.17437E+00    0.11049E+03    0.81789E+00    0.99226E+00
    0.59000E+02    0.18000E+03    0.16187E+00    0.10826E+03    0.82931E+00    0.99118E+00
    0.60000E+02    0.18000E+03    0.15093E+00    0.10589E+03    0.83887E+00    0.98980E+00
    0.61000E+02    0.18000E+03    0.14152E+00    0.10337E+03    0.84643E+00    0.98796E+00
    0.62000E+02    0.18000E+03    0.13360E+00    0.10070E+03    0.85186E+00    0.98546E+00
    0.63000E+02    0.18000E+03    0.12709E+00    0.97893E+02    0.85501E+00    0.98210E+00
    0.64000E+02    0.18000E+03    0.12190E+00    0.94934E+02    0.85569E+00    0.97759E+00
    0.65000E+02    0.18000E+03    0.11792E+00    0.91813E+02    0.85363E+00    0.97155E+00
    0.66000E+02    0.18000E+03    0.11507E+00    0.88504E+02    0.84837E+00    0.96343E+00
    0.67000E+02    0.18000E+03    0.11336E+00    0.84943E+02    0.83910E+00    0.95247E+00
    0.68000E+02    0.18000E+03    0.11309E+00    0.81007E+02    0.82428E+00    0.93738E+00
    0.69000E+02    0.18000E+03    0.11533E+00    0.76423E+02    0.80068E+00    0.91601E+00
    0.70000E+02    0.18000E+03    0.12334E+00    0.70575E+02    0.76100E+00    0.88433E+00
    0.71000E+02    0.18000E+03    0.14642E+00    0.62059E+02    0.68843E+00    0.83484E+00
    0.72000E+02    0.18000E+03    0.20321E+00    0.48743E+02    0.55605E+00    0.75926E+00
    0.73000E+02    0.18000E+03    0.29069E+00    0.32108E+02    0.37652E+00    0.66721E+00
    0.74000E+02    0.18000E+03    0.34955E+00    0.19193E+02    0.23129E+00    0.58083E+00
