 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.51000E+02    0.18000E+03    0.30307E+00    0.12119E+03    0.69367E+00    0.99675E+00
    0.52000E+02    0.18000E+03    0.28121E+00    0.12022E+03    0.71533E+00    0.99654E+00
    0.53000E+02    0.18000E+03    0.26068E+00    0.11891E+03    0.73505E+00    0.99572E+00
    0.54000E+02    0.18000E+03    0.24159E+00    0.11732E+03    0.75281E+00    0.99441E+00
    0.55000E+02    0.18000E+03    0.22408E+00    0.11547E+03    0.76866E+00    0.99274E+00
    0.56000E+02    0.18000E+03    0.20826E+00    0.11339E+03    0.78247E+00    0.99074E+00
    0.57000E+02    0.18000E+03    0.19428E+00    0.11105E+03    0.79400E+00    0.98828E+00
    0.58000E+02    0.18000E+03    0.18229E+00    0.10845E+03    0.80281E+00    0.98509E+00
    0.59000E+02    0.18000E+03    0.17246E+00    0.10551E+03    0.80826E+00    0.98073E+00
    0.60000E+02    0.18000E+03    0.16511E+00    0.10217E+03    0.80937E+00    0.97448E+00
    0.61000E+02    0.18000E+03    0.16084E+00    0.98220E+02    0.80426E+00    0.96510E+00
    0.62000E+02    0.18000E+03    0.16113E+00    0.93242E+02    0.78874E+00    0.94987E+00
    0.63000E+02    0.18000E+03    0.16972E+00    0.86171E+02    0.75263E+00    0.92235E+00
    0.64000E+02    0.18000E+03    0.19380E+00    0.75071E+02    0.67665E+00    0.87045E+00
    0.65000E+02    0.18000E+03    0.23493E+00    0.59399E+02    0.55226E+00    0.78719E+00
    0.66000E+02    0.18000E+03    0.27128E+00    0.43315E+02    0.41520E+00    0.68649E+00
    0.67000E+02    0.18000E+03    0.27789E+00    0.31503E+02    0.31120E+00    0.58909E+00
    0.68000E+02    0.18000E+03    0.25226E+00    0.23368E+02    0.23778E+00    0.49004E+00
    0.69000E+02    0.18000E+03    0.19741E+00    0.16949E+02    0.17757E+00    0.37498E+00
    0.70000E+02    0.18000E+03    0.13071E+00    0.12497E+02    0.13475E+00    0.26547E+00
    0.71000E+02    0.18000E+03    0.71468E-01    0.84197E+01    0.93401E-01    0.16487E+00
    0.72000E+02    0.18000E+03    0.30079E-01    0.42892E+01    0.48930E-01    0.79009E-01
    0.73000E+02    0.18000E+03    0.10250E-01    0.16899E+01    0.19817E-01    0.30067E-01
    0.74000E+02    0.18000E+03    0.32053E-02    0.58834E+00    0.70897E-02    0.10295E-01
