 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.51000E+02    0.18000E+03    0.30307E+00    0.12119E+03    0.69366E+00    0.99673E+00
    0.52000E+02    0.18000E+03    0.28122E+00    0.12021E+03    0.71530E+00    0.99652E+00
    0.53000E+02    0.18000E+03    0.26069E+00    0.11891E+03    0.73502E+00    0.99571E+00
    0.54000E+02    0.18000E+03    0.24160E+00    0.11732E+03    0.75281E+00    0.99441E+00
    0.55000E+02    0.18000E+03    0.22408E+00    0.11547E+03    0.76868E+00    0.99275E+00
    0.56000E+02    0.18000E+03    0.20825E+00    0.11339E+03    0.78251E+00    0.99076E+00
    0.57000E+02    0.18000E+03    0.19426E+00    0.11106E+03    0.79405E+00    0.98831E+00
    0.58000E+02    0.18000E+03    0.18226E+00    0.10845E+03    0.80286E+00    0.98512E+00
    0.59000E+02    0.18000E+03    0.17244E+00    0.10552E+03    0.80831E+00    0.98075E+00
    0.60000E+02    0.18000E+03    0.16509E+00    0.10217E+03    0.80941E+00    0.97450E+00
    0.61000E+02    0.18000E+03    0.16082E+00    0.98224E+02    0.80429E+00    0.96512E+00
    0.62000E+02    0.18000E+03    0.16111E+00    0.93245E+02    0.78876E+00    0.94987E+00
    0.63000E+02    0.18000E+03    0.16971E+00    0.86173E+02    0.75264E+00    0.92235E+00
    0.64000E+02    0.18000E+03    0.19378E+00    0.75071E+02    0.67666E+00    0.87044E+00
    0.65000E+02    0.18000E+03    0.23491E+00    0.59400E+02    0.55226E+00    0.78717E+00
    0.66000E+02    0.18000E+03    0.27127E+00    0.43315E+02    0.41520E+00    0.68647E+00
    0.67000E+02    0.18000E+03    0.27789E+00    0.31503E+02    0.31120E+00    0.58909E+00
    0.68000E+02    0.18000E+03    0.25227E+00    0.23368E+02    0.23778E+00    0.49004E+00
    0.69000E+02    0.18000E+03    0.19742E+00    0.16948E+02    0.17757E+00    0.37498E+00
    0.70000E+02    0.18000E+03    0.13072E+00    0.12497E+02    0.13475E+00    0.26547E+00
    0.71000E+02    0.18000E+03    0.71476E-01    0.84194E+01    0.93397E-01    0.16487E+00
    0.72000E+02    0.18000E+03    0.30084E-01    0.42889E+01    0.48927E-01    0.79010E-01
    0.73000E+02    0.18000E+03    0.10250E-01    0.16898E+01    0.19816E-01    0.30066E-01
    0.74000E+02    0.18000E+03    0.32043E-02    0.58847E+00    0.70912E-02    0.10296E-01
