 #   E (MEV)       THETA_CM     SIG_EL/SIG_R  SIG_INEL(MB)  SIG_INEL/SIG_R  SIG_QEL/SIG_R
    0.42000E+02    0.18000E+03    0.54402E+00    0.82210E+02    0.45461E+00    0.99863E+00
    0.42100E+02    0.18000E+03    0.54149E+00    0.82187E+02    0.45665E+00    0.99814E+00
    0.42200E+02    0.18000E+03    0.53896E+00    0.82186E+02    0.45882E+00    0.99778E+00
    0.42300E+02    0.18000E+03    0.53640E+00    0.82247E+02    0.46134E+00    0.99774E+00
    0.42400E+02    0.18000E+03    0.53380E+00    0.82373E+02    0.46423E+00    0.99803E+00
    0.42500E+02    0.18000E+03    0.53118E+00    0.82528E+02    0.46730E+00    0.99848E+00
    0.42600E+02    0.18000E+03    0.52856E+00    0.82662E+02    0.47026E+00    0.99882E+00
    0.42700E+02    0.18000E+03    0.52598E+00    0.82733E+02    0.47288E+00    0.99886E+00
    0.42800E+02    0.18000E+03    0.52343E+00    0.82737E+02    0.47512E+00    0.99855E+00
    0.42900E+02    0.18000E+03    0.52091E+00    0.82704E+02    0.47715E+00    0.99807E+00
    0.43000E+02    0.18000E+03    0.51839E+00    0.82684E+02    0.47926E+00    0.99765E+00
    0.43100E+02    0.18000E+03    0.51584E+00    0.82718E+02    0.48169E+00    0.99753E+00
    0.43200E+02    0.18000E+03    0.51326E+00    0.82815E+02    0.48450E+00    0.99776E+00
    0.43300E+02    0.18000E+03    0.51066E+00    0.82950E+02    0.48754E+00    0.99820E+00
    0.43400E+02    0.18000E+03    0.50806E+00    0.83075E+02    0.49053E+00    0.99858E+00
    0.43500E+02    0.18000E+03    0.50548E+00    0.83147E+02    0.49322E+00    0.99870E+00
    0.43600E+02    0.18000E+03    0.50294E+00    0.83152E+02    0.49552E+00    0.99846E+00
    0.43700E+02    0.18000E+03    0.50043E+00    0.83112E+02    0.49755E+00    0.99798E+00
    0.43800E+02    0.18000E+03    0.49793E+00    0.83071E+02    0.49959E+00    0.99752E+00
    0.43900E+02    0.18000E+03    0.49541E+00    0.83075E+02    0.50190E+00    0.99730E+00
    0.44000E+02    0.18000E+03    0.49286E+00    0.83139E+02    0.50458E+00    0.99743E+00
    0.44100E+02    0.18000E+03    0.49028E+00    0.83249E+02    0.50754E+00    0.99782E+00
    0.44200E+02    0.18000E+03    0.48770E+00    0.83363E+02    0.51054E+00    0.99825E+00
    0.44300E+02    0.18000E+03    0.48514E+00    0.83436E+02    0.51331E+00    0.99845E+00
    0.44400E+02    0.18000E+03    0.48262E+00    0.83447E+02    0.51569E+00    0.99831E+00
    0.44500E+02    0.18000E+03    0.48013E+00    0.83404E+02    0.51775E+00    0.99788E+00
    0.44600E+02    0.18000E+03    0.47765E+00    0.83346E+02    0.51972E+00    0.99737E+00
    0.44700E+02    0.18000E+03    0.47517E+00    0.83316E+02    0.52187E+00    0.99704E+00
    0.44800E+02    0.18000E+03    0.47266E+00    0.83343E+02    0.52437E+00    0.99704E+00
    0.44900E+02    0.18000E+03    0.47013E+00    0.83422E+02    0.52721E+00    0.99735E+00
    0.45000E+02    0.18000E+03    0.46759E+00    0.83520E+02    0.53019E+00    0.99778E+00
    0.45100E+02    0.18000E+03    0.46506E+00    0.83594E+02    0.53302E+00    0.99808E+00
    0.45200E+02    0.18000E+03    0.46256E+00    0.83612E+02    0.53550E+00    0.99806E+00
    0.45300E+02    0.18000E+03    0.46010E+00    0.83572E+02    0.53762E+00    0.99771E+00
    0.45400E+02    0.18000E+03    0.45766E+00    0.83501E+02    0.53953E+00    0.99719E+00
    0.45500E+02    0.18000E+03    0.45522E+00    0.83440E+02    0.54152E+00    0.99674E+00
    0.45600E+02    0.18000E+03    0.45277E+00    0.83425E+02    0.54380E+00    0.99658E+00
    0.45700E+02    0.18000E+03    0.45030E+00    0.83464E+02    0.54645E+00    0.99675E+00
    0.45800E+02    0.18000E+03    0.44781E+00    0.83538E+02    0.54933E+00    0.99714E+00
    0.45900E+02    0.18000E+03    0.44533E+00    0.83607E+02    0.55219E+00    0.99751E+00
    0.46000E+02    0.18000E+03    0.44287E+00    0.83634E+02    0.55477E+00    0.99764E+00
    0.46100E+02    0.18000E+03    0.44044E+00    0.83602E+02    0.55698E+00    0.99742E+00
    0.46200E+02    0.18000E+03    0.43805E+00    0.83526E+02    0.55888E+00    0.99693E+00
    0.46300E+02    0.18000E+03    0.43567E+00    0.83439E+02    0.56072E+00    0.99639E+00
    0.46400E+02    0.18000E+03    0.43329E+00    0.83381E+02    0.56276E+00    0.99604E+00
    0.46500E+02    0.18000E+03    0.43089E+00    0.83374E+02    0.56514E+00    0.99603E+00
