Eeff   Derivative 
43.00 6.0000E-04 
43.10 1.6000E-04 
43.20 -2.3500E-04 
43.30 -3.5500E-04 
43.40 -1.4000E-04 
43.50 3.0000E-04 
43.60 7.2500E-04 
43.70 9.1000E-04 
43.80 7.5500E-04 
43.90 3.6000E-04 
44.00 -6.5000E-05 
44.10 -2.7500E-04 
44.20 -1.5000E-04 
44.30 2.4500E-04 
44.40 6.9500E-04 
44.50 9.8000E-04 
44.60 9.4000E-04 
44.70 6.1500E-04 
44.80 1.9000E-04 
44.90 -1.0500E-04 
45.00 -1.0500E-04 
45.10 2.0000E-04 
45.20 6.6000E-04 
45.30 1.0300E-03 
45.40 1.1350E-03 
45.50 9.2500E-04 
45.60 5.3000E-04 
45.70 1.7500E-04 
45.80 4.5000E-05 
45.90 2.3500E-04 
46.00 6.4500E-04 
46.10 1.0800E-03 
46.20 1.3250E-03 
46.30 1.2750E-03 
46.40 9.7500E-04 
46.50 5.9500E-04 
46.60 3.5500E-04 
46.70 3.9000E-04 
46.80 7.1000E-04 
46.90 1.1600E-03 
47.00 1.5400E-03 
47.10 1.6800E-03 
47.20 1.5350E-03 
47.30 1.2050E-03 
47.40 8.9500E-04 
47.50 7.9500E-04 
47.60 9.8000E-04 
47.70 1.3850E-03 
47.80 1.8500E-03 
47.90 2.1750E-03 
48.00 2.2450E-03 
48.10 2.0700E-03 
48.20 1.7950E-03 
48.30 1.6000E-03 
48.40 1.6400E-03 
48.50 1.9550E-03 
48.60 2.4450E-03 
48.70 2.9350E-03 
48.80 3.2500E-03 
48.90 3.3200E-03 
49.00 3.2000E-03 
49.10 3.0250E-03 
49.20 2.9850E-03 
49.30 3.2000E-03 
49.40 3.6600E-03 
49.50 4.2600E-03 
49.60 4.8150E-03 
49.70 5.2000E-03 
49.80 5.3700E-03 
49.90 5.3750E-03 
50.00 5.3850E-03 
50.10 5.5550E-03 
50.20 5.9700E-03 
50.30 6.6150E-03 
50.40 7.3700E-03 
50.50 8.0750E-03 
50.60 8.6100E-03 
50.70 8.9450E-03 
50.80 9.1650E-03 
50.90 9.4100E-03 
51.00 9.8150E-03 
51.10 1.0470E-02 
51.20 1.1320E-02 
51.30 1.2265E-02 
51.40 1.3155E-02 
51.50 1.3880E-02 
51.60 1.4435E-02 
51.70 1.4885E-02 
51.80 1.5360E-02 
51.90 1.6005E-02 
52.00 1.6855E-02 
52.10 1.7895E-02 
52.20 1.9010E-02 
52.30 2.0070E-02 
52.40 2.0985E-02 
52.50 2.1740E-02 
52.60 2.2405E-02 
52.70 2.3100E-02 
52.80 2.3935E-02 
52.90 2.4965E-02 
53.00 2.6165E-02 
53.10 2.7435E-02 
53.20 2.8675E-02 
53.30 2.9790E-02 
53.40 3.0775E-02 
53.50 3.1690E-02 
53.60 3.2630E-02 
53.70 3.3700E-02 
53.80 3.4955E-02 
53.90 3.6370E-02 
54.00 3.7885E-02 
54.10 3.9385E-02 
54.20 4.0810E-02 
54.30 4.2145E-02 
54.40 4.3430E-02 
54.50 4.4750E-02 
54.60 4.6190E-02 
54.70 4.7810E-02 
54.80 4.9595E-02 
54.90 5.1495E-02 
55.00 5.3425E-02 
55.10 5.5320E-02 
55.20 5.7165E-02 
55.30 5.8980E-02 
55.40 6.0830E-02 
55.50 6.2790E-02 
55.60 6.4915E-02 
55.70 6.7195E-02 
55.80 6.9595E-02 
55.90 7.2040E-02 
56.00 7.4475E-02 
56.10 7.6865E-02 
56.20 7.9220E-02 
56.30 8.1580E-02 
56.40 8.4005E-02 
56.50 8.6525E-02 
56.60 8.9155E-02 
56.70 9.1845E-02 
56.80 9.4550E-02 
56.90 9.7195E-02 
57.00 9.9755E-02 
57.10 1.0222E-01 
57.20 1.0458E-01 
57.30 1.0692E-01 
57.40 1.0924E-01 
57.50 1.1153E-01 
57.60 1.1378E-01 
57.70 1.1595E-01 
57.80 1.1798E-01 
57.90 1.1982E-01 
58.00 1.2147E-01 
58.10 1.2294E-01 
58.20 1.2423E-01 
58.30 1.2539E-01 
58.40 1.2641E-01 
58.50 1.2730E-01 
58.60 1.2800E-01 
58.70 1.2852E-01 
58.80 1.2880E-01 
58.90 1.2884E-01 
59.00 1.2865E-01 
59.10 1.2826E-01 
59.20 1.2769E-01 
59.30 1.2696E-01 
59.40 1.2606E-01 
59.50 1.2501E-01 
59.60 1.2379E-01 
59.70 1.2237E-01 
59.80 1.2077E-01 
59.90 1.1900E-01 
60.00 1.1709E-01 
60.10 1.1505E-01 
60.20 1.1293E-01 
60.30 1.1071E-01 
60.40 1.0842E-01 
60.50 1.0605E-01 
60.60 1.0358E-01 
60.70 1.0103E-01 
60.80 9.8405E-02 
60.90 9.5735E-02 
61.00 9.3040E-02 
61.10 9.0345E-02 
61.20 8.7660E-02 
61.30 8.4990E-02 
61.40 8.2330E-02 
61.50 7.9665E-02 
61.60 7.7000E-02 
61.70 7.4335E-02 
61.80 7.1685E-02 
61.90 6.9070E-02 
62.00 6.6510E-02 
62.10 6.4015E-02 
62.20 6.1595E-02 
62.30 5.9250E-02 
62.40 5.6957E-02 
62.50 5.4712E-02 
62.60 5.2502E-02 
62.70 5.0326E-02 
62.80 4.8193E-02 
62.90 4.6120E-02 
63.00 4.4122E-02 
